GreedyTime,GreedyLen,GeneticTime,GeneticLen,GeneticPlusTime,GeneticPlusLen
0.005001068,1217,61.07149291,1106,61.23950195,1091
0.00500083,1138,58.15632606,1107,58.33633685,1048
0.004999876,1352,58.32733583,1398,58.54634905,1016
0.006000042,1034,58.49534607,1277,58.74636006,993
0.005001068,1114,58.30433512,1160,58.49934602,1000
0.006000041961669922,975,67.50386095046997,996,67.79887795448303,819
0.006000041961669922,1127,63.649641036987305,1001,63.92265605926514,1045
0.005000114440917969,1030,65.80776405334473,1068,66.0617790222168,1023
0.006000041961669922,1094,63.27961993217468,1098,63.587636947631836,1053
0.006000041961669922,1244,68.75293302536011,1069,69.22895908355713,1145
0.006000995635986328,987,63.298619985580444,921,63.48763108253479,944
0.005001068115234375,1132,60.46345806121826,1097,60.704471826553345,1094
0.005001068115234375,1070,62.57457900047302,973,62.801591873168945,1033
0.004999876022338867,1035,63.45462918281555,1013,63.601637840270996,1003
0.006000995635986328,1069,69.64798283576965,1138,69.83599495887756,1048
0.005000114440917969,1208,66.39379787445068,987,66.54980611801147,1121
0.006000041961669922,1077,65.76976203918457,903,66.07377886772156,992
0.00599980354309082,1150,64.74570298194885,976,65.00371813774109,990
0.006000995635986328,1167,61.53151893615723,1185,61.83453702926636,1128
0.006000041961669922,954,63.09360885620117,940,63.24961805343628,924
